run_number,timestamp,run_type,target_type,comment,deadtime_fraction,total_events,run_time_seconds,beam_energy_MeV,beam_current_uA,momentum_RHRS_MeV,momentum_LHRS_MeV
4285,2019-02-23T20:36:15,SciFi,Tungsten 2.8%,"Tungsten 2.8%; RHRSTwoArm Config. in RAW mode; 0.12 uA; T1=T4=0; HV S0 on, HV SciFI on",1.00000,142765,70.56,2220.76,0.0560381,1000.00,1000.00
4284,2019-02-23T20:36:07,SciFi,Tungsten 2.8%,"Tungsten 2.8%; RHRSTwoArm Config. in RAW mode; 0.12 uA; T1=T4=0; HV S0 on, HV SciFI off",1.00000,409951,76.86,2220.76,0.0559707,1000.00,1000.00
4282,2019-02-23T20:27:09,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.00000,201,164.70,2221.43,0.565145,1000.00,1000.00
4281,2019-02-23T20:21:02,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06998,2494840,1026.78,2221.36,45.4501,1000.00,1000.00
4280,2019-02-23T20:02:13,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.05766,3009100,1495.44,2221.39,45.5144,1000.00,1000.00
4279,2019-02-23T19:35:42,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06415,3175859,1417.32,2221.39,45.7963,1000.00,1000.00
4278,2019-02-23T19:10:43,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06625,3777410,1642.56,2221.41,46.0006,1000.00,1000.00
4277,2019-02-23T18:42:02,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06967,3169835,1314.90,2221.34,45.5576,1000.00,1000.00
4276,2019-02-23T18:19:05,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.05265,3018081,1643.88,2221.4,45.169,1000.00,1000.00
4275,2019-02-23T17:50:32,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06450,2999632,1360.26,2220.76,0.0559278,1000.00,1000.00
4274,2019-02-23T17:26:44,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06607,3012737,1310.40,2221.4,45.1681,1000.00,1000.00
4273,2019-02-23T17:03:55,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06261,3013586,1397.22,2221.4,45.436,1000.00,1000.00
4272,2019-02-23T16:39:35,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06596,3008280,1422.84,2221.4,45.2627,1000.00,1000.00
4271,2019-02-23T16:14:11,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.04679,3029549,1837.02,2221.37,45.5979,1000.00,1000.00
4270,2019-02-23T15:41:23,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.05030,3010820,1703.76,2221.41,44.9119,1000.00,1000.00
4269,2019-02-23T15:11:38,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.04256,3019165,2043.96,2221.39,45.7835,1000.00,1000.00
4268,2019-02-23T14:36:16,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.05475,3012232,1564.44,2221.36,45.5491,1000.00,1000.00
4267,2019-02-23T14:09:13,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06529,3013661,1331.58,2221.38,45.492,1000.00,1000.00
4266,2019-02-23T13:45:54,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06769,3151242,1337.76,2221.37,45.6356,1000.00,1000.00
4265,2019-02-23T13:22:22,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.07130,3231907,1353.12,2221.42,45.4578,1000.00,1000.00
4264,2019-02-23T12:58:47,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.05691,3353528,1704.24,2221.43,46.109,1000.00,1000.00
4263,2019-02-23T12:29:01,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.05615,3103233,1598.40,2221.42,45.4941,1000.00,1000.00
4262,2019-02-23T12:01:13,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06455,3041227,1358.04,2221.37,45.4424,1000.00,1000.00
4261,2019-02-23T11:37:27,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06440,3092684,1383.42,2221.39,45.6505,1000.00,1000.00
4260,2019-02-23T11:13:02,Production,Tungsten 2.8%,Tungsten 2.8%; RHRSTwoArm Config.; 40uA,0.06782,3064206,1309.68,2221.35,45.7961,1000.00,1000.00
