run-number rawfile-number n-CODA-events
4220 1 340777
4220 2 340777
4220 3 340777
4220 4 340777
4220 5 340777
4220 6 340777
4220 7 340777
4220 8 340777
4220 9 340777
4221 0 17163
4222 0 386461
4222 1 386461
4223 0 545370
4224 0 385479
4224 1 385479
4224 2 385479
4225 0 346761
4225 1 346761
4225 2 346761
4225 3 346761
4225 4 346761
4225 5 346761
4225 6 346761
4225 7 346761
4225 8 346761
4226 0 342457
4226 1 342457
4226 2 342457
4226 3 342457
4226 4 342457
4226 5 342457
4226 6 342457
4226 7 342457
4226 8 342457
4226 9 342457
4226 10 342457
4227 0 344997
4227 1 344997
4227 2 344997
4227 3 344997
4227 4 344997
4227 5 344997
4227 6 344997
4227 7 344997
4227 8 344997
4228 0 345064
4228 1 345064
4228 2 345064
4228 3 345064
4228 4 345064
4228 5 345064
4228 6 345064
4228 7 345064
4228 8 345064
4229 0 345190
4229 1 345190
4229 2 345190
4229 3 345190
4229 4 345190
4229 5 345190
4229 6 345190
4229 7 345190
4229 8 345190
4229 9 345190
4230 0 345176
4230 1 345176
4230 2 345176
4230 3 345176
4230 4 345176
4230 5 345176
4230 6 345176
4230 7 345176
4230 8 345176
4230 9 345176
4230 10 345176
4231 0 344975
4231 1 344975
4231 2 344975
4231 3 344975
4231 4 344975
4231 5 344975
4231 6 344975
4231 7 344975
4231 8 344975
4231 9 344975
4232 0 344958
4232 1 344958
4232 2 344958
4232 3 344958
4232 4 344958
4232 5 344958
4232 6 344958
4232 7 344958
4232 8 344958
4233 0 344998
4233 1 344998
4233 2 344998
4233 3 344998
4233 4 344998
4233 5 344998
4233 6 344998
4233 7 344998
4233 8 344998
4234 0 344986
4234 1 344986
4234 2 344986
4234 3 344986
4234 4 344986
4234 5 344986
4234 6 344986
4234 7 344986
4234 8 344986
4235 0 345262
4235 1 345262
4235 2 345262
4235 3 345262
4235 4 345262
4235 5 345262
4235 6 345262
4235 7 345262
4235 8 345262
4235 9 345262
4236 0 344957
4236 1 344957
4236 2 344957
4236 3 344957
4236 4 344957
4236 5 344957
4236 6 344957
4236 7 344957
4236 8 344957
4237 0 345149
4237 1 345149
4237 2 345149
4237 3 345149
4237 4 345149
4237 5 345149
4237 6 345149
4237 7 345149
4237 8 345149
4237 9 345149
4238 0 344988
4238 1 344988
4238 2 344988
4238 3 344988
4238 4 344988
4238 5 344988
4238 6 344988
4238 7 344988
4238 8 344988
4239 0 344944
4239 1 344944
4239 2 344944
4239 3 344944
4239 4 344944
4239 5 344944
4239 6 344944
4239 7 344944
4239 8 344944
4240 0 345049
4240 1 345049
4240 2 345049
4240 3 345049
4240 4 345049
4240 5 345049
4240 6 345049
4240 7 345049
4240 8 345049
4241 0 345062
4241 1 345062
4241 2 345062
4241 3 345062
4241 4 345062
4241 5 345062
4241 6 345062
4241 7 345062
4241 8 345062
4242 0 345022
4242 1 345022
4242 2 345022
4242 3 345022
4242 4 345022
4242 5 345022
4242 6 345022
4242 7 345022
4242 8 345022
4243 0 344987
4243 1 344987
4243 2 344987
4243 3 344987
4243 4 344987
4243 5 344987
4243 6 344987
4243 7 344987
4243 8 344987
4244 0 344923
4244 1 344923
4244 2 344923
4244 3 344923
4244 4 344923
4244 5 344923
4244 6 344923
4244 7 344923
4244 8 344923
4245 0 345087
4245 1 345087
4245 2 345087
4245 3 345087
4245 4 345087
4245 5 345087
4245 6 345087
4245 7 345087
4245 8 345087
4246 0 345077
4246 1 345077
4246 2 345077
4246 3 345077
4246 4 345077
4246 5 345077
4246 6 345077
4246 7 345077
4246 8 345077
4247 0 344993
4247 1 344993
4247 2 344993
4247 3 344993
4247 4 344993
4247 5 344993
4247 6 344993
4247 7 344993
4247 8 344993
4248 0 345063
